
Host: HogEye

Timers On : Fri Feb  4 13:46:51 2022
Timers Off: Fri Feb  4 13:46:52 2022

Wall Time:        0.88 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 13:48:00 2022
Timers Off: Fri Feb  4 13:48:00 2022

Wall Time:        0.32 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 13:49:46 2022
Timers Off: Fri Feb  4 13:49:47 2022

Wall Time:        0.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 13:49:46 2022
Timers Off: Fri Feb  4 13:49:47 2022

Wall Time:        1.10 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 14:02:48 2022
Timers Off: Fri Feb  4 14:02:49 2022

Wall Time:        0.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 14:02:48 2022
Timers Off: Fri Feb  4 14:02:49 2022

Wall Time:        1.10 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 14:06:32 2022
Timers Off: Fri Feb  4 14:06:33 2022

Wall Time:        0.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 14:14:39 2022
Timers Off: Fri Feb  4 14:15:14 2022

Wall Time:       34.98 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Grad: JK                            :      0.000u      0.000s      3.358w     50 calls
Grad: XC                            :      0.000u      0.000s      0.000w     50 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.196w     50 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.131w     50 calls
DFH: initialize()                   :      0.000u      0.000s      0.952w     50 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.109w    350 calls
| DFH: AO Construction              :      0.000u      0.000s      0.153w     50 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.100w     50 calls
HF: Form core H                     :      0.000u      0.000s      0.164w     50 calls
HF: Form S/X                        :      0.000u      0.000s      0.021w     50 calls
HF: Guess                           :      0.000u      0.000s      0.044w     50 calls
| SAD Guess                         :      0.000u      0.000s      0.042w      1 calls
HF: Form G                          :      0.000u      0.000s     11.094w   1058 calls
| JK: D                             :      0.000u      0.000s      0.008w   1058 calls
| JK: USO2AO                        :      0.000u      0.000s      0.003w   1058 calls
| JK: JK                            :      0.000u      0.000s     11.063w   1058 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.359w    608 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    608 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.044w    608 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.141w    608 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      1.102w    450 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w   1058 calls
HF: Form F                          :      0.000u      0.000s      0.009w   1058 calls
HF: Form D                          :      0.000u      0.000s      0.006w   1058 calls
HF: DIIS                            :      0.000u      0.000s      0.826w   1057 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.015w   1008 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.056w   1008 calls
| | bMatrix setup                   :      0.000u      0.000s      0.007w   1008 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.019w   1008 calls
| | New vector                      :      0.000u      0.000s      0.027w   1008 calls
HF: Form C                          :      0.000u      0.000s      0.663w   1057 calls
Grad: V T Perturb                   :      0.000u      0.000s      4.867w     50 calls
Grad: S                             :      0.000u      0.000s      0.006w     50 calls
Grad: JK                            :      0.000u      0.000s      3.358w     50 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.773w    300 calls
Grad: XC                            :      0.000u      0.000s      0.000w     50 calls

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 14:14:38 2022
Timers Off: Fri Feb  4 14:15:14 2022

Wall Time:       35.89 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 14:20:56 2022
Timers Off: Fri Feb  4 14:21:22 2022

Wall Time:       25.52 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.127w     38 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      1.475w    895 calls
DFH: initialize()                   :      0.000u      0.000s      0.656w     38 calls
DFH: AO Construction                :      0.000u      0.000s      0.095w     38 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.069w     38 calls
HF: Form core H                     :      0.000u      0.000s      0.119w     38 calls
HF: Form S/X                        :      0.000u      0.000s      0.015w     38 calls
HF: Guess                           :      0.000u      0.000s      0.110w     38 calls
SAD Guess                           :      0.000u      0.000s      0.107w      3 calls
HF: Form G                          :      0.000u      0.000s      7.047w    828 calls
JK: D                               :      0.000u      0.000s      0.007w    842 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w    842 calls
JK: JK                              :      0.000u      0.000s      8.556w    842 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.249w    486 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    486 calls
DFH: compute_J                      :      0.000u      0.000s      0.027w    486 calls
DFH: compute_K                      :      0.000u      0.000s      0.092w    486 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    842 calls
HF: Form F                          :      0.000u      0.000s      0.006w    828 calls
HF: Form D                          :      0.000u      0.000s      0.004w    828 calls
HF: DIIS                            :      0.000u      0.000s      0.572w    825 calls
DIISManager::add_entry              :      0.000u      0.000s      0.010w    790 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.038w    790 calls
bMatrix setup                       :      0.000u      0.000s      0.005w    790 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.013w    790 calls
New vector                          :      0.000u      0.000s      0.019w    790 calls
HF: Form C                          :      0.000u      0.000s      0.456w    825 calls
Grad: V T Perturb                   :      0.000u      0.000s      3.277w     37 calls
Grad: S                             :      0.000u      0.000s      0.004w     37 calls
Grad: JK                            :      0.000u      0.000s      1.986w     37 calls
Grad: XC                            :      0.000u      0.000s      0.000w     37 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.000u      0.000s      0.212w      1 calls
Hess: T                             :      0.000u      0.000s      0.001w      1 calls
Hess: S                             :      0.000u      0.000s      0.000w      1 calls
Hess: JK                            :      0.000u      0.000s      0.235w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.127w     38 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.082w     38 calls
DFH: initialize()                   :      0.000u      0.000s      0.656w     38 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.073w    266 calls
| DFH: AO Construction              :      0.000u      0.000s      0.095w     38 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.069w     38 calls
HF: Form core H                     :      0.000u      0.000s      0.119w     38 calls
HF: Form S/X                        :      0.000u      0.000s      0.015w     38 calls
HF: Guess                           :      0.000u      0.000s      0.110w     38 calls
| SAD Guess                         :      0.000u      0.000s      0.107w      3 calls
HF: Form G                          :      0.000u      0.000s      7.047w    828 calls
| JK: D                             :      0.000u      0.000s      0.006w    828 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w    828 calls
| JK: JK                            :      0.000u      0.000s      7.026w    828 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.249w    486 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    486 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.027w    486 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.092w    486 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.738w    342 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    828 calls
HF: Form F                          :      0.000u      0.000s      0.006w    828 calls
HF: Form D                          :      0.000u      0.000s      0.004w    828 calls
HF: DIIS                            :      0.000u      0.000s      0.572w    825 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.010w    790 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.038w    790 calls
| | bMatrix setup                   :      0.000u      0.000s      0.005w    790 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.013w    790 calls
| | New vector                      :      0.000u      0.000s      0.019w    790 calls
HF: Form C                          :      0.000u      0.000s      0.456w    825 calls
Grad: V T Perturb                   :      0.000u      0.000s      3.277w     37 calls
Grad: S                             :      0.000u      0.000s      0.004w     37 calls
Grad: JK                            :      0.000u      0.000s      1.986w     37 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.522w    222 calls
Grad: XC                            :      0.000u      0.000s      0.000w     37 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.000u      0.000s      0.212w      1 calls
Hess: T                             :      0.000u      0.000s      0.001w      1 calls
Hess: S                             :      0.000u      0.000s      0.000w      1 calls
Hess: JK                            :      0.000u      0.000s      0.235w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.015w      6 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.016w      7 calls
JK: D                               :      0.000u      0.000s      0.001w     14 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     14 calls
JK: JK                              :      0.000u      0.000s      1.530w     14 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.028w     14 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     14 calls

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 14:23:09 2022
Timers Off: Fri Feb  4 14:23:40 2022

Wall Time:       30.96 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.167w     50 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      1.881w   1150 calls
DFH: initialize()                   :      0.000u      0.000s      0.866w     50 calls
DFH: AO Construction                :      0.000u      0.000s      0.128w     50 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.091w     50 calls
HF: Form core H                     :      0.000u      0.000s      0.144w     50 calls
HF: Form S/X                        :      0.000u      0.000s      0.020w     50 calls
HF: Guess                           :      0.000u      0.000s      0.039w     50 calls
SAD Guess                           :      0.000u      0.000s      0.037w      1 calls
HF: Form G                          :      0.000u      0.000s      9.222w   1053 calls
JK: D                               :      0.000u      0.000s      0.008w   1053 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w   1053 calls
JK: JK                              :      0.000u      0.000s      9.195w   1053 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.307w    603 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    603 calls
DFH: compute_J                      :      0.000u      0.000s      0.033w    603 calls
DFH: compute_K                      :      0.000u      0.000s      0.114w    603 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w   1053 calls
HF: Form F                          :      0.000u      0.000s      0.007w   1053 calls
HF: Form D                          :      0.000u      0.000s      0.005w   1053 calls
HF: DIIS                            :      0.000u      0.000s      0.756w   1052 calls
DIISManager::add_entry              :      0.000u      0.000s      0.013w   1003 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.049w   1003 calls
bMatrix setup                       :      0.000u      0.000s      0.006w   1003 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.017w   1003 calls
New vector                          :      0.000u      0.000s      0.024w   1003 calls
HF: Form C                          :      0.000u      0.000s      0.602w   1052 calls
Grad: V T Perturb                   :      0.000u      0.000s      4.459w     50 calls
Grad: S                             :      0.000u      0.000s      0.005w     50 calls
Grad: JK                            :      0.000u      0.000s      2.695w     50 calls
Grad: XC                            :      0.000u      0.000s      0.000w     50 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.167w     50 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.108w     50 calls
DFH: initialize()                   :      0.000u      0.000s      0.866w     50 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.094w    350 calls
| DFH: AO Construction              :      0.000u      0.000s      0.128w     50 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.091w     50 calls
HF: Form core H                     :      0.000u      0.000s      0.144w     50 calls
HF: Form S/X                        :      0.000u      0.000s      0.020w     50 calls
HF: Guess                           :      0.000u      0.000s      0.039w     50 calls
| SAD Guess                         :      0.000u      0.000s      0.037w      1 calls
HF: Form G                          :      0.000u      0.000s      9.222w   1053 calls
| JK: D                             :      0.000u      0.000s      0.008w   1053 calls
| JK: USO2AO                        :      0.000u      0.000s      0.003w   1053 calls
| JK: JK                            :      0.000u      0.000s      9.195w   1053 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.307w    603 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    603 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.033w    603 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.114w    603 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.975w    450 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w   1053 calls
HF: Form F                          :      0.000u      0.000s      0.007w   1053 calls
HF: Form D                          :      0.000u      0.000s      0.005w   1053 calls
HF: DIIS                            :      0.000u      0.000s      0.756w   1052 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.013w   1003 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.049w   1003 calls
| | bMatrix setup                   :      0.000u      0.000s      0.006w   1003 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.017w   1003 calls
| | New vector                      :      0.000u      0.000s      0.024w   1003 calls
HF: Form C                          :      0.000u      0.000s      0.602w   1052 calls
Grad: V T Perturb                   :      0.000u      0.000s      4.459w     50 calls
Grad: S                             :      0.000u      0.000s      0.005w     50 calls
Grad: JK                            :      0.000u      0.000s      2.695w     50 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.705w    300 calls
Grad: XC                            :      0.000u      0.000s      0.000w     50 calls

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 14:23:09 2022
Timers Off: Fri Feb  4 14:23:40 2022

Wall Time:       31.65 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 14:28:05 2022
Timers Off: Fri Feb  4 14:28:17 2022

Wall Time:       12.20 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.056w     16 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.646w    390 calls
DFH: initialize()                   :      0.000u      0.000s      0.283w     16 calls
DFH: AO Construction                :      0.000u      0.000s      0.039w     16 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.029w     16 calls
HF: Form core H                     :      0.000u      0.000s      0.049w     16 calls
HF: Form S/X                        :      0.000u      0.000s      0.007w     16 calls
HF: Guess                           :      0.000u      0.000s      0.109w     16 calls
SAD Guess                           :      0.000u      0.000s      0.107w      3 calls
HF: Form G                          :      0.000u      0.000s      3.011w    360 calls
JK: D                               :      0.000u      0.000s      0.003w    374 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w    374 calls
JK: JK                              :      0.000u      0.000s      4.465w    374 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.109w    215 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    215 calls
DFH: compute_J                      :      0.000u      0.000s      0.012w    215 calls
DFH: compute_K                      :      0.000u      0.000s      0.040w    215 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    374 calls
HF: Form F                          :      0.000u      0.000s      0.003w    360 calls
HF: Form D                          :      0.000u      0.000s      0.002w    360 calls
HF: DIIS                            :      0.000u      0.000s      0.245w    357 calls
DIISManager::add_entry              :      0.000u      0.000s      0.004w    344 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.017w    344 calls
bMatrix setup                       :      0.000u      0.000s      0.002w    344 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.006w    344 calls
New vector                          :      0.000u      0.000s      0.008w    344 calls
HF: Form C                          :      0.000u      0.000s      0.193w    357 calls
Grad: V T Perturb                   :      0.000u      0.000s      1.460w     15 calls
Grad: S                             :      0.000u      0.000s      0.002w     15 calls
Grad: JK                            :      0.000u      0.000s      0.800w     15 calls
Grad: XC                            :      0.000u      0.000s      0.000w     15 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.000u      0.000s      0.202w      1 calls
Hess: T                             :      0.000u      0.000s      0.001w      1 calls
Hess: S                             :      0.000u      0.000s      0.000w      1 calls
Hess: JK                            :      0.000u      0.000s      0.228w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.056w     16 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.036w     16 calls
DFH: initialize()                   :      0.000u      0.000s      0.283w     16 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.031w    112 calls
| DFH: AO Construction              :      0.000u      0.000s      0.039w     16 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.029w     16 calls
HF: Form core H                     :      0.000u      0.000s      0.049w     16 calls
HF: Form S/X                        :      0.000u      0.000s      0.007w     16 calls
HF: Guess                           :      0.000u      0.000s      0.109w     16 calls
| SAD Guess                         :      0.000u      0.000s      0.107w      3 calls
HF: Form G                          :      0.000u      0.000s      3.011w    360 calls
| JK: D                             :      0.000u      0.000s      0.002w    360 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    360 calls
| JK: JK                            :      0.000u      0.000s      3.002w    360 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.109w    215 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    215 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.012w    215 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.040w    215 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.305w    145 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    360 calls
HF: Form F                          :      0.000u      0.000s      0.003w    360 calls
HF: Form D                          :      0.000u      0.000s      0.002w    360 calls
HF: DIIS                            :      0.000u      0.000s      0.245w    357 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.004w    344 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.017w    344 calls
| | bMatrix setup                   :      0.000u      0.000s      0.002w    344 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.006w    344 calls
| | New vector                      :      0.000u      0.000s      0.008w    344 calls
HF: Form C                          :      0.000u      0.000s      0.193w    357 calls
Grad: V T Perturb                   :      0.000u      0.000s      1.460w     15 calls
Grad: S                             :      0.000u      0.000s      0.002w     15 calls
Grad: JK                            :      0.000u      0.000s      0.800w     15 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.214w     90 calls
Grad: XC                            :      0.000u      0.000s      0.000w     15 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.000u      0.000s      0.202w      1 calls
Hess: T                             :      0.000u      0.000s      0.001w      1 calls
Hess: S                             :      0.000u      0.000s      0.000w      1 calls
Hess: JK                            :      0.000u      0.000s      0.228w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.016w      6 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.015w      7 calls
JK: D                               :      0.000u      0.000s      0.001w     14 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     14 calls
JK: JK                              :      0.000u      0.000s      1.462w     14 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.028w     14 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     14 calls

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 14:28:04 2022
Timers Off: Fri Feb  4 14:28:17 2022

Wall Time:       12.87 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: HogEye

Timers On : Fri Feb  4 14:29:45 2022
Timers Off: Fri Feb  4 14:29:57 2022

Wall Time:       12.41 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.056w     16 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.663w    390 calls
DFH: initialize()                   :      0.000u      0.000s      0.288w     16 calls
DFH: AO Construction                :      0.000u      0.000s      0.043w     16 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.029w     16 calls
HF: Form core H                     :      0.000u      0.000s      0.050w     16 calls
HF: Form S/X                        :      0.000u      0.000s      0.006w     16 calls
HF: Guess                           :      0.000u      0.000s      0.110w     16 calls
SAD Guess                           :      0.000u      0.000s      0.107w      3 calls
HF: Form G                          :      0.000u      0.000s      3.109w    360 calls
JK: D                               :      0.000u      0.000s      0.004w    374 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w    374 calls
JK: JK                              :      0.000u      0.000s      4.713w    374 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.114w    215 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    215 calls
DFH: compute_J                      :      0.000u      0.000s      0.013w    215 calls
DFH: compute_K                      :      0.000u      0.000s      0.042w    215 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    374 calls
HF: Form F                          :      0.000u      0.000s      0.003w    360 calls
HF: Form D                          :      0.000u      0.000s      0.002w    360 calls
HF: DIIS                            :      0.000u      0.000s      0.250w    357 calls
DIISManager::add_entry              :      0.000u      0.000s      0.004w    344 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.017w    344 calls
bMatrix setup                       :      0.000u      0.000s      0.002w    344 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.006w    344 calls
New vector                          :      0.000u      0.000s      0.008w    344 calls
HF: Form C                          :      0.000u      0.000s      0.197w    357 calls
Grad: V T Perturb                   :      0.000u      0.000s      1.478w     15 calls
Grad: S                             :      0.000u      0.000s      0.002w     15 calls
Grad: JK                            :      0.000u      0.000s      0.832w     15 calls
Grad: XC                            :      0.000u      0.000s      0.000w     15 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.000u      0.000s      0.206w      1 calls
Hess: T                             :      0.000u      0.000s      0.001w      1 calls
Hess: S                             :      0.000u      0.000s      0.000w      1 calls
Hess: JK                            :      0.000u      0.000s      0.228w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.056w     16 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.036w     16 calls
DFH: initialize()                   :      0.000u      0.000s      0.288w     16 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.031w    112 calls
| DFH: AO Construction              :      0.000u      0.000s      0.043w     16 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.029w     16 calls
HF: Form core H                     :      0.000u      0.000s      0.050w     16 calls
HF: Form S/X                        :      0.000u      0.000s      0.006w     16 calls
HF: Guess                           :      0.000u      0.000s      0.110w     16 calls
| SAD Guess                         :      0.000u      0.000s      0.107w      3 calls
HF: Form G                          :      0.000u      0.000s      3.109w    360 calls
| JK: D                             :      0.000u      0.000s      0.003w    360 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    360 calls
